country,iso3,year,g_whoregion,contact_screening_rate,tpt_start_rate,tpt_completion_rate,contact_screening_rate_edge_flag,tpt_start_rate_edge_flag,tpt_completion_rate_edge_flag,c_newinc,c_newinc_next_year,c_newinc_percent_change_next_year,case_change_direction,low_c_newinc_flag,temporal_analysis_cohort_flag
Brazil,BRA,2019,AMR,0.7026140014329628,0.05833082950054314,0.7428480862191933,False,False,False,86258.0,76582.0,-11.21751025991792,Rückgang,False,True
Brazil,BRA,2020,AMR,0.7123457126508814,0.07628674967984524,0.7134081005786127,False,False,False,76582.0,79904.0,4.337833955759839,Anstieg,False,True
Brazil,BRA,2021,AMR,0.7066589666765776,0.09623653454703474,0.6970471154417444,False,False,False,79904.0,88661.0,10.959401281537845,Anstieg,False,True
Brazil,BRA,2022,AMR,0.707174955062912,0.11309666466946275,0.7161714714582138,False,False,False,88661.0,92226.0,4.020933668693112,Anstieg,False,True
Brazil,BRA,2023,AMR,0.6941940211473658,0.10791968335715724,0.7386792903935351,False,False,False,92226.0,92863.0,0.6906945980526099,Anstieg,False,True
Barbados,BRB,2020,AMR,1.0,,,True,False,False,6.0,1.0,-83.33333333333334,Rückgang,True,False
Brunei Darussalam,BRN,2019,WPR,1.0,0.04154302670623145,,True,False,False,242.0,314.0,29.75206611570248,Anstieg,False,True
Brunei Darussalam,BRN,2020,WPR,1.0,0.0013559322033898306,1.0,True,False,True,314.0,235.0,-25.159235668789808,Rückgang,False,True
Brunei Darussalam,BRN,2021,WPR,1.0,1.0,,True,True,False,235.0,224.0,-4.680851063829787,Rückgang,False,True
Brunei Darussalam,BRN,2022,WPR,1.0,0.08928571428571429,0.03333333333333333,True,False,False,224.0,260.0,16.071428571428573,Anstieg,False,True
Brunei Darussalam,BRN,2023,WPR,1.0,0.004576659038901602,,True,False,False,260.0,235.0,-9.615384615384617,Rückgang,False,True
Bhutan,BTN,2019,SEA,1.0,0.06666666666666667,1.0,True,False,True,1005.0,911.0,-9.35323383084577,Rückgang,False,True
