country,iso3,year,g_whoregion,screen_data_available,newinc_con,newinc_con_screen,newinc_con_tb,prevtx_data_available,newinc_con_prevtx,newinc_con04_prevtx,newinc_con_prevtx_cmplt,country_notifications,g_whoregion_notifications,c_newinc,new_labconf,new_clindx,new_ep,country_drug_resistance,g_whoregion_drug_resistance,r_rlt_new,rr_new,dst_rlt_new,mdr_new,r_rlt_ret,rr_ret,dst_rlt_ret,mdr_ret,country_outcomes,g_whoregion_outcomes,newrel_coh,newrel_succ,newrel_fail,newrel_died,newrel_lost,c_new_tsr,rel_with_new_flg,contact_screening_rate,tpt_start_rate,tpt_completion_rate,rr_rate_new,mdr_rate_new,treatment_success_rate,treatment_death_rate,unsuccessful_rate,contact_screening_rate_edge_flag,tpt_start_rate_edge_flag,tpt_completion_rate_edge_flag,c_newinc_next_year,rr_rate_new_next_year,mdr_rate_new_next_year,c_new_tsr_next_year,newrel_coh_next_year,treatment_success_rate_next_year,treatment_death_rate_next_year,unsuccessful_rate_next_year,c_newinc_percent_change_next_year,low_c_newinc_flag,case_change_direction,temporal_analysis_cohort_flag
Armenia,ARM,2024,EUR,1.0,823.0,775.0,21.0,1.0,19.0,19.0,,Armenia,EUR,383.0,207.0,58.0,102.0,Armenia,EUR,207.0,30.0,207.0,27.0,29.0,12.0,29.0,10.0,,,,,,,,,,0.9416767922235723,0.023086269744835967,,0.14492753623188406,0.13043478260869565,,,,False,False,False,,,,,,,,,,False,,True
American Samoa,ASM,2019,WPR,60.0,1.0,0.0,,60.0,0.0,0.0,,American Samoa,WPR,1.0,1.0,0.0,0.0,American Samoa,WPR,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,American Samoa,WPR,1.0,1.0,,,,100.0,1.0,0.0,0.0,,0.0,0.0,1.0,,,True,True,False,3.0,0.0,,,,,,,200.0,True,Anstieg,False
American Samoa,ASM,2020,WPR,60.0,25.0,7.0,,60.0,0.0,0.0,,American Samoa,WPR,3.0,3.0,0.0,0.0,American Samoa,WPR,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,American Samoa,WPR,,,,,,,,0.28,0.0,,0.0,,,,,False,True,False,,,,,,,,,,True,,False
Antigua and Barbuda,ATG,2019,AMR,60.0,1.0,1.0,,60.0,0.0,0.0,,Antigua and Barbuda,AMR,0.0,0.0,0.0,0.0,Antigua and Barbuda,AMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Antigua and Barbuda,AMR,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,,,,,,,True,True,False,2.0,,,,0.0,,,,,True,,False
Antigua and Barbuda,ATG,2020,AMR,60.0,3.0,3.0,,60.0,0.0,0.0,,Antigua and Barbuda,AMR,2.0,1.0,1.0,0.0,Antigua and Barbuda,AMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Antigua and Barbuda,AMR,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,,,,,,,True,True,False,4.0,,,75.0,4.0,0.75,0.0,0.25,100.0,True,Anstieg,False
Antigua and Barbuda,ATG,2021,AMR,60.0,6.0,5.0,,60.0,0.0,0.0,0.0,Antigua and Barbuda,AMR,4.0,3.0,1.0,0.0,Antigua and Barbuda,AMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Antigua and Barbuda,AMR,4.0,3.0,0.0,0.0,1.0,75.0,1.0,0.8333333333333334,0.0,,,,0.75,0.0,0.25,False,True,False,1.0,,,100.0,1.0,1.0,0.0,0.0,-75.0,True,Rückgang,False
Antigua and Barbuda,ATG,2022,AMR,60.0,4.0,3.0,0.0,60.0,,,0.0,Antigua and Barbuda,AMR,1.0,0.0,0.0,0.0,Antigua and Barbuda,AMR,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Antigua and Barbuda,AMR,1.0,1.0,0.0,0.0,0.0,100.0,1.0,0.75,,,,,1.0,0.0,0.0,False,False,False,1.0,,,0.0,1.0,0.0,0.0,1.0,0.0,True,Unverändert,False
Antigua and Barbuda,ATG,2023,AMR,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Antigua and Barbuda,AMR,1.0,0.0,1.0,0.0,Antigua and Barbuda,AMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Antigua and Barbuda,AMR,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,0.0,0.0,1.0,False,False,False,1.0,0.0,0.0,,,,,,0.0,True,Unverändert,False
Antigua and Barbuda,ATG,2024,AMR,1.0,50.0,40.0,0.0,1.0,0.0,0.0,,Antigua and Barbuda,AMR,1.0,1.0,0.0,0.0,Antigua and Barbuda,AMR,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.8,0.0,,0.0,0.0,,,,False,True,False,,,,,,,,,,True,,False
Australia,AUS,2019,WPR,60.0,555.0,476.0,,60.0,70.0,23.0,,Australia,WPR,1502.0,771.0,109.0,554.0,Australia,WPR,708.0,17.0,700.0,15.0,32.0,3.0,31.0,3.0,Australia,WPR,1530.0,1315.0,0.0,66.0,22.0,86.0,1.0,0.8576576576576577,0.12612612612612611,,0.02401129943502825,0.02142857142857143,0.8594771241830066,0.043137254901960784,0.05751633986928104,False,False,False,1611.0,0.01904761904761905,0.013717421124828532,90.0,1484.0,0.8975741239892183,0.03840970350404313,0.05188679245283019,7.256990679094541,False,Anstieg,True
Australia,AUS,2020,WPR,60.0,1438.0,1319.0,,60.0,204.0,45.0,,Australia,WPR,1611.0,783.0,140.0,609.0,Australia,WPR,735.0,14.0,729.0,10.0,42.0,3.0,40.0,3.0,Australia,WPR,1484.0,1332.0,3.0,57.0,17.0,90.0,1.0,0.9172461752433936,0.14186369958275383,,0.01904761904761905,0.013717421124828532,0.8975741239892183,0.03840970350404313,0.05188679245283019,False,False,False,1468.0,0.01507537688442211,0.011725293132328308,88.0,1256.0,0.8845541401273885,0.04378980891719745,0.05334394904458599,-8.876474239602732,False,Rückgang,True
