country,iso3,year,g_whoregion,contact_screening_rate,tpt_start_rate,tpt_completion_rate,contact_screening_rate_edge_flag,tpt_start_rate_edge_flag,tpt_completion_rate_edge_flag,c_new_tsr_next_year,newrel_coh_next_year,treatment_success_rate_next_year,treatment_death_rate_next_year,unsuccessful_rate_next_year
Guam,GUM,2020,WPR,0.64375,0.25625,0.5365853658536586,False,False,False,79.0,58.0,0.7931034482758621,0.06896551724137931,0.1724137931034483
Guam,GUM,2021,WPR,0.7916666666666666,0.3819444444444444,0.6545454545454545,False,False,False,76.0,59.0,0.7627118644067796,0.15254237288135594,0.22033898305084745
Guam,GUM,2022,WPR,0.6532258064516129,0.06182795698924731,0.6956521739130435,False,False,False,75.0,44.0,0.75,0.11363636363636363,0.18181818181818182
Guyana,GUY,2019,AMR,0.6311787072243346,0.20912547528517111,,False,False,False,67.0,358.0,0.6675977653631285,0.08379888268156424,0.276536312849162
Guyana,GUY,2020,AMR,0.38482384823848237,0.16260162601626016,,False,False,False,67.0,402.0,0.6741293532338308,0.10696517412935323,0.27611940298507465
Guyana,GUY,2021,AMR,0.6390423572744015,0.16206261510128914,,False,False,False,70.0,392.0,0.701530612244898,0.07397959183673469,0.25510204081632654
Guyana,GUY,2022,AMR,0.6376306620209059,0.10452961672473868,,False,False,False,77.0,424.0,0.7712264150943396,0.07783018867924528,0.20754716981132076
"China, Hong Kong SAR",HKG,2019,WPR,0.8219354838709677,0.15483870967741936,0.8916666666666667,False,False,False,74.0,3610.0,0.7445983379501385,0.1925207756232687,0.210803324099723
"China, Hong Kong SAR",HKG,2020,WPR,0.603157321720196,0.18671747414262385,0.8542274052478134,False,False,False,74.0,3662.0,0.7441288913162206,0.19606772255598034,0.2151829601310759
"China, Hong Kong SAR",HKG,2021,WPR,0.5733916302311055,0.19800124921923798,0.8170347003154574,False,False,False,79.0,2945.0,0.7949066213921901,0.14702886247877758,0.1701188455008489
"China, Hong Kong SAR",HKG,2022,WPR,0.5775553967119371,0.20729092208720515,0.8379310344827586,False,False,False,82.0,2966.0,0.8240053944706676,0.13182737693863789,0.1500337154416723
Honduras,HND,2019,AMR,0.5268287570739887,0.21201006078390275,,False,False,False,87.0,1847.0,0.8727666486193828,0.07850568489442339,0.12181916621548457
Honduras,HND,2020,AMR,0.38286441396861304,0.22875724586455534,0.0,False,False,True,85.0,2063.0,0.8540959767329133,0.07658749394086282,0.13766359670382938
Honduras,HND,2021,AMR,0.9245582238332578,0.17489805165382874,1.0,False,False,True,86.0,2331.0,0.8601458601458601,0.07593307593307594,0.1347061347061347
Honduras,HND,2022,AMR,0.37873340707964603,0.10674778761061947,,False,False,False,84.0,2634.0,0.8432042520880789,0.07896735003796507,0.1480637813211845
Haiti,HTI,2019,AMR,0.9039816483696542,0.11731935113878421,0.7732774674115456,False,False,False,82.0,10844.0,0.8191626706012541,0.060125414976023604,0.15842862412393952
Haiti,HTI,2020,AMR,1.0,0.14849531327084362,,True,False,False,82.0,9778.0,0.8245039885457148,0.055430558396400084,0.15453057885048066
Haiti,HTI,2021,AMR,0.621676631471823,0.07950642411906882,,False,False,False,85.0,11100.0,0.8486486486486486,0.06126126126126126,0.140990990990991
Haiti,HTI,2022,AMR,1.0,0.12153730970801098,,True,False,False,82.0,11714.0,0.8223493255933072,0.04635478914119857,0.13974731091002218
Indonesia,IDN,2019,WPR,0.029479386288997596,0.002853969188266587,0.2795838751625488,False,False,False,86.0,362523.0,0.8607509040805686,0.03774932900809052,0.10906618338698511
Indonesia,IDN,2020,WPR,0.028802596751664154,0.0011906437863371004,0.5387840670859538,False,False,False,87.0,391245.0,0.8657950900330995,0.038840112972689744,0.11234648366113305
Indonesia,IDN,2021,WPR,0.9789280197268452,0.0015776609340329539,0.6935161382462154,False,False,False,87.0,630307.0,0.866311178520943,0.03583174548275681,0.1146536529024745
Indonesia,IDN,2022,WPR,0.9925245951818792,0.028825505335133766,0.6657264531828991,False,False,False,86.0,718814.0,0.8560142122997048,0.037499269630252054,0.12290940354528432
India,IND,2019,SEA,0.7924773801752456,0.022153024839242502,0.07116449333430465,False,False,False,85.0,1603958.0,0.8509412341220904,0.04381349137570934,0.07891852529804397
India,IND,2020,SEA,0.8524492351122137,0.04233149767722845,,False,False,False,87.0,1905759.0,0.8677052030188497,0.04619052041732454,0.07678200653912694
India,IND,2021,SEA,0.760220854653506,0.10637958683660034,0.7023626103449083,False,False,False,89.0,2194723.0,0.8853809797409513,0.04089992222253104,0.06590307751821073
India,IND,2022,SEA,0.9418253347762041,0.2420277617547088,0.8099988797394102,False,False,False,90.0,2286114.0,0.8975943456887977,0.03789268601653286,0.05844940366053487
Iran (Islamic Republic of),IRN,2019,EMR,0.9346065833480021,0.11868509065305403,0.8728216536892844,False,False,False,84.0,5958.0,0.842228935884525,0.09080228264518295,0.14216179926149713
Iran (Islamic Republic of),IRN,2020,EMR,0.9419413155333055,0.1272423863162286,0.9158469945355191,False,False,False,83.0,6191.0,0.8299143918591504,0.08706186399612341,0.14230334356323696
Iran (Islamic Republic of),IRN,2021,EMR,0.9361020468703649,0.10756452091367547,0.8698290126861555,False,False,False,84.0,7234.0,0.8411667127453691,0.08501520597179983,0.14183024606027095
Iran (Islamic Republic of),IRN,2022,EMR,0.9149332061068702,0.1064885496183206,0.8378136200716846,False,False,False,85.0,7371.0,0.8456111789445123,0.07583774250440917,0.13403880070546736
Iraq,IRQ,2019,EMR,0.5806228904571955,0.20796256520405032,0.7097012172630026,False,False,False,94.0,4985.0,0.9412236710130392,0.023871614844533602,0.05255767301905717
