country,iso3,year,g_whoregion,contact_screening_rate,tpt_start_rate,tpt_completion_rate,contact_screening_rate_edge_flag,tpt_start_rate_edge_flag,tpt_completion_rate_edge_flag,rr_rate_new_next_year,mdr_rate_new_next_year
Cuba,CUB,2021,AMR,0.7998829724985371,0.17992978349912228,0.9560975609756097,False,False,False,0.009302325581395349,0.005847953216374269
Cuba,CUB,2022,AMR,1.0,0.182559324501383,0.6004784688995215,True,False,False,0.07246376811594203,0.0
Cuba,CUB,2023,AMR,0.9751865066493675,0.3358741485566007,0.5200386286817963,False,False,False,0.0066815144766146995,0.125
Dominican Republic,DOM,2019,AMR,0.5114247311827957,,,False,False,False,0.09733700642791551,0.16013071895424835
Dominican Republic,DOM,2020,AMR,0.41448140900195696,0.016634050880626222,,False,False,False,0.07250580046403712,0.1327683615819209
Dominican Republic,DOM,2021,AMR,0.568019093078759,,,False,False,False,0.06588973554459883,0.08955223880597014
Dominican Republic,DOM,2022,AMR,0.5469798657718121,0.034995206136145734,0.9178082191780822,False,False,False,0.05513784461152882,0.3967391304347826
Dominican Republic,DOM,2023,AMR,0.4449003516998828,0.01626611957796014,,False,False,False,0.04992012779552716,0.03362690152121697
Algeria,DZA,2022,AFR,0.1091,0.1091,1.0,False,False,True,0.21739130434782608,0.15217391304347827
Ecuador,ECU,2019,AMR,0.8860731840524304,0.06608410704533042,,False,False,False,0.032758620689655175,0.06209150326797386
Ecuador,ECU,2020,AMR,0.86002886002886,0.04383975812547241,,False,False,False,0.09691330004539264,0.09951456310679611
Ecuador,ECU,2021,AMR,0.9048251438689686,0.08056662239929172,,False,False,False,0.08426483233018056,0.09956521739130435
Ecuador,ECU,2022,AMR,0.9364607273218872,0.05718534541030147,,False,False,False,0.04226125137211855,0.30073349633251834
Ecuador,ECU,2023,AMR,0.7722745332825341,0.017580144777662874,,False,False,False,0.05322746654903691,0.2248062015503876
